,Epoch,Train,Val,F1-Score
475,475,1.05873,1.15148,0.42
476,476,1.07004,1.14359,0.43
477,477,1.07765,1.15964,0.43
478,478,1.07338,1.14694,0.42
479,479,1.06638,1.14593,0.43
480,480,1.06673,1.15536,0.45
481,481,1.07784,1.1442,0.42
482,482,1.079,1.15753,0.43
483,483,1.07231,1.14787,0.44
484,484,1.07902,1.14554,0.43
485,485,1.0838,1.16469,0.45
486,486,1.07497,1.14669,0.44
487,487,1.0823,1.15985,0.44
488,488,1.07614,1.15144,0.4
489,489,1.06617,1.15634,0.44
490,490,1.06831,1.14728,0.43
491,491,1.075,1.14776,0.44
492,492,1.06388,1.1566,0.43
493,493,1.06004,1.15171,0.44
494,494,1.07351,1.15009,0.42
495,495,1.05445,1.15178,0.44
496,496,1.0694,1.15116,0.44
497,497,1.05711,1.14983,0.43
498,498,1.07142,1.14496,0.44
499,499,1.05892,1.15186,0.43
